request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_167,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 31200 minimum balance protected.
request_168,42234.73,affordable_with_plan,partial_payment,2026-01-07:42234.73|2026-02-15:7145.27,2026-02-15,none,Pay INR 42234.73 today and INR 7145.27 on 2026-02-15. The verified schedule keeps the INR 114400 minimum protected. Projected minimum balance: INR 114400.00.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. The 90-day forecast remains above the ZAR 18700 minimum balance. Projected minimum balance: ZAR 26875.60.
request_170,34275921.57,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,Use 3 installments of IDR 12804480 starting 2025-08-06. The verified schedule keeps the IDR 24715800 minimum protected. Financing cost is IDR 1477440. Projected minimum balance: IDR 46187241.57.
request_171,87.26,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 500 minimum balance protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Use 2 installments of ZAR 5304 starting 2024-06-05. The verified schedule keeps the ZAR 27200 minimum protected. Financing cost is ZAR 408. Projected minimum balance: ZAR 32835.50.
request_173,69732.37,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,Use 3 installments of INR 39173.33 starting 2025-11-21. The verified schedule keeps the INR 79100 minimum protected. Financing cost is INR 4519.99. Projected minimum balance: INR 148832.37.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use 3 installments of EUR 397.35 starting 2026-04-04. The verified schedule keeps the EUR 700 minimum protected. Financing cost is EUR 45.85. Projected minimum balance: EUR 1259.55.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. The 90-day forecast remains above the EUR 1700 minimum balance. Projected minimum balance: EUR 2246.91.
request_176,456.96,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 600 minimum balance protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. The 90-day forecast remains above the USD 1300 minimum balance. Projected minimum balance: USD 1646.21.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use 3 installments of EUR 1018.54 starting 2024-12-07. The verified schedule keeps the EUR 1400 minimum protected. Financing cost is EUR 117.52. Projected minimum balance: EUR 2276.49.
request_179,12796325.90,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Wait until 2025-06-15 and then pay IDR 41648000 in full. Paying earlier would put the IDR 41430800 minimum balance at risk.
request_180,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 37300 minimum balance protected.
request_181,402.57,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 2000 minimum balance protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. The 90-day forecast remains above the ZAR 31100 minimum balance. Projected minimum balance: ZAR 45696.29.
request_183,25453247.56,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,Use 3 installments of IDR 9313546.67 starting 2026-04-10. The verified schedule keeps the IDR 11878300 minimum protected. Financing cost is IDR 1074640.01. Projected minimum balance: IDR 28018000.89.
request_184,21348.09,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 110800 minimum balance protected.
request_185,478.40,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,Wait until 2025-12-15 and then pay EUR 1257.3 in full. Paying earlier would put the EUR 1300 minimum balance at risk.
request_186,8488.48,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 22000 minimum balance protected.
request_187,44872.87,affordable_later,wait,2024-10-15:187500,2024-10-15,none,Wait until 2024-10-15 and then pay INR 187500 in full. Paying earlier would put the INR 128300 minimum balance at risk.
request_188,158.78,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 900 minimum balance protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. The 90-day forecast remains above the EUR 400 minimum balance. Projected minimum balance: EUR 529.93.
request_190,796.50,affordable_later,wait,2025-01-15:2557.5,2025-01-15,none,Wait until 2025-01-15 and then pay EUR 2557.5 in full. Paying earlier would put the EUR 1600 minimum balance at risk.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 today. The 90-day forecast remains above the EUR 500 minimum balance. Projected minimum balance: EUR 669.62.
request_192,214.13,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 1000 minimum balance protected.
request_193,132.55,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,Use 3 installments of EUR 420.23 starting 2024-03-21. The verified schedule keeps the EUR 1000 minimum protected. Financing cost is EUR 48.49. Projected minimum balance: EUR 1132.55.
request_194,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 113600 minimum balance protected.
request_195,1094.34,not_affordable,not_recommended,none,2026-03-15,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 700 minimum balance protected.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 today. The 90-day forecast remains above the EUR 500 minimum balance. Projected minimum balance: EUR 692.48.
request_197,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 26245900 minimum balance protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. The 90-day forecast remains above the INR 124300 minimum balance. Projected minimum balance: INR 175363.50.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use 3 installments of IDR 8206986.67 starting 2024-09-07. The verified schedule keeps the IDR 25359500 minimum protected. Financing cost is IDR 946960.01. Projected minimum balance: IDR 65037069.41.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. The 90-day forecast remains above the IDR 20114600 minimum balance. Projected minimum balance: IDR 25408496.18.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. The 90-day forecast remains above the IDR 17304500 minimum balance. Projected minimum balance: IDR 50827890.48.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. The 90-day forecast remains above the INR 147800 minimum balance. Projected minimum balance: INR 177925.11.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use 3 installments of EUR 499.93 starting 2025-05-10. The verified schedule keeps the EUR 1400 minimum protected. Financing cost is EUR 57.69. Projected minimum balance: EUR 3319.35.
request_204,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1300 minimum balance protected.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. The 90-day forecast remains above the IDR 13994300 minimum balance. Projected minimum balance: IDR 17339583.52.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use 3 installments of EUR 486.96 starting 2025-08-03. The verified schedule keeps the EUR 900 minimum protected. Financing cost is EUR 56.18. Projected minimum balance: EUR 1779.16.
request_207,6737.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15 and then pay ZAR 11830 in full. Paying earlier would put the ZAR 13600 minimum balance at risk.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,Pay IDR 4413000 today. The 90-day forecast remains above the IDR 10470700 minimum balance. Projected minimum balance: IDR 10526146.41.
request_209,2188.23,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 18400 minimum balance protected.
request_210,1077.16,affordable_with_plan,partial_payment,2026-04-06:1077.16|2026-04-15:282.86,2026-04-15,none,Pay USD 1077.16 today and USD 282.86 on 2026-04-15. The verified schedule keeps the USD 2000 minimum protected. Projected minimum balance: USD 2000.00.
request_211,433.39,affordable_later,wait,2024-10-15:1788.6,2024-10-15,none,Wait until 2024-10-15 and then pay EUR 1788.6 in full. Paying earlier would put the EUR 1500 minimum balance at risk.
request_212,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 29579800 minimum balance protected.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use 3 installments of USD 1165.63 starting 2026-01-21. The verified schedule keeps the USD 2100 minimum protected. Financing cost is USD 134.49. Projected minimum balance: USD 4515.94.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Use 2 installments of INR 36270 starting 2024-12-04. The verified schedule keeps the INR 174900 minimum protected. Financing cost is INR 2790. Projected minimum balance: INR 218463.80.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use 3 installments of ZAR 10395.15 starting 2025-05-09. The verified schedule keeps the ZAR 15700 minimum protected. Financing cost is ZAR 1199.45. Projected minimum balance: ZAR 39606.55.
request_216,699.29,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,Wait until 2026-09-15 and then pay USD 3332.4 in full. Paying earlier would put the USD 1800 minimum balance at risk.
request_217,22874.52,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use 3 installments of ZAR 12889.07 starting 2024-03-19. The verified schedule keeps the ZAR 26800 minimum protected. Financing cost is ZAR 1487.21. Projected minimum balance: ZAR 49674.52.
request_218,27297450.66,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use 3 installments of IDR 21195893.33 starting 2025-08-07. The verified schedule keeps the IDR 34477200 minimum protected. Financing cost is IDR 2445679.99. Projected minimum balance: IDR 40578757.33.
request_219,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1100 minimum balance protected.
request_220,208.08,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1100 minimum balance protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. The 90-day forecast remains above the INR 81500 minimum balance. Projected minimum balance: INR 108920.11.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. The 90-day forecast remains above the ZAR 27300 minimum balance. Projected minimum balance: ZAR 43935.01.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. The 90-day forecast remains above the EUR 800 minimum balance. Projected minimum balance: EUR 1049.95.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use 2 installments of IDR 5370040 starting 2025-02-04. The verified schedule keeps the IDR 22187600 minimum protected. Financing cost is IDR 413080. Projected minimum balance: IDR 29664230.27.
request_225,12021650.36,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,Use 3 installments of IDR 7647120 starting 2026-07-20. The verified schedule keeps the IDR 17670700 minimum protected. Financing cost is IDR 882360. Projected minimum balance: IDR 29692350.36.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. The 90-day forecast remains above the INR 209400 minimum balance. Projected minimum balance: INR 270561.40.
request_227,12595.85,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 62900 minimum balance protected.
request_228,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 26191200 minimum balance protected.
request_229,547.14,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Use 3 installments of EUR 529.29 starting 2024-03-18. The verified schedule keeps the EUR 1000 minimum protected. Financing cost is EUR 61.07. Projected minimum balance: EUR 1547.14.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. The 90-day forecast remains above the EUR 2000 minimum balance. Projected minimum balance: EUR 3770.63.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Use 3 installments of ZAR 12378.08 starting 2026-01-06. The verified schedule keeps the ZAR 24300 minimum protected. Financing cost is ZAR 1428.24. Projected minimum balance: ZAR 49166.54.
request_232,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 2400 minimum balance protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 10365700 minimum balance protected.
request_234,318.66,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,Wait until 2026-08-15 and then pay EUR 1213.3 in full. Paying earlier would put the EUR 700 minimum balance at risk.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. The 90-day forecast remains above the USD 700 minimum balance. Projected minimum balance: USD 946.98.
request_236,6842131.84,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 16768600 minimum balance protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. The 90-day forecast remains above the IDR 22431500 minimum balance. Projected minimum balance: IDR 39828505.66.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use 3 installments of USD 230.05 starting 2024-12-07. The verified schedule keeps the USD 700 minimum protected. Financing cost is USD 26.55. Projected minimum balance: USD 1551.27.
request_239,376.34,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 600 minimum balance protected.
request_240,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 52800 minimum balance protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use 3 installments of IDR 7298026.67 starting 2024-03-17. The verified schedule keeps the IDR 19252000 minimum protected. Financing cost is IDR 842080.01. Projected minimum balance: IDR 34603350.37.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 600 minimum balance protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. The 90-day forecast remains above the ZAR 19900 minimum balance. Projected minimum balance: ZAR 24482.64.
request_244,48127.58,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 45900 minimum balance protected.
request_245,39305.57,affordable_later,wait,2025-12-15:128500,2025-12-15,none,Wait until 2025-12-15 and then pay INR 128500 in full. Paying earlier would put the INR 94600 minimum balance at risk.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use 3 installments of ZAR 22216.48 starting 2026-04-03. The verified schedule keeps the ZAR 39300 minimum protected. Financing cost is ZAR 2563.44. Projected minimum balance: ZAR 69213.95.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. The 90-day forecast remains above the EUR 1300 minimum balance. Projected minimum balance: EUR 1594.39.
request_248,1017.09,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 1300 minimum balance protected.
request_249,206.88,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 600 minimum balance protected.
request_250,17404.9,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 35300 minimum balance protected.
request_251,1455.34,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1300 minimum balance protected.
request_252,6643701.89,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,Wait until 2026-08-15 and then pay IDR 28082000 in full. Paying earlier would put the IDR 15152200 minimum balance at risk.
request_253,1627.16,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-15,none,Use 3 installments of EUR 984.6 starting 2024-03-21. The verified schedule keeps the EUR 2300 minimum protected. Financing cost is EUR 113.6. Projected minimum balance: EUR 3927.16.
request_254,807.25,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,Wait until 2025-09-15 and then pay USD 3535.2 in full. Paying earlier would put the USD 2500 minimum balance at risk.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. The 90-day forecast remains above the IDR 9813900 minimum balance. Projected minimum balance: IDR 17483878.00.
request_256,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 168600 minimum balance protected.
request_257,634.07,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,Wait until 2025-11-15 and then pay USD 1352.4 in full. Paying earlier would put the USD 1600 minimum balance at risk.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. The 90-day forecast remains above the USD 500 minimum balance. Projected minimum balance: USD 1321.38.
request_259,242.0,affordable_later,wait,2024-10-15:935,2024-10-15,none,Wait until 2024-10-15 and then pay EUR 935 in full. Paying earlier would put the EUR 600 minimum balance at risk.
request_260,9757646.09,affordable_with_plan,partial_payment,2025-02-06:9757646.09|2025-04-15:42321353.91,2025-04-15,none,Pay IDR 9757646.09 today and IDR 42321353.91 on 2025-04-15. The verified schedule keeps the IDR 20727700 minimum protected. Projected minimum balance: IDR 20727700.00.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. The 90-day forecast remains above the EUR 1500 minimum balance. Projected minimum balance: EUR 2007.60.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. The 90-day forecast remains above the IDR 31018500 minimum balance. Projected minimum balance: IDR 62695880.24.
request_263,9153.93,not_affordable,not_recommended,none,2025-07-15,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 24100 minimum balance protected.
request_264,26798.22,affordable_later,wait,2026-05-15:111300,2026-05-15,none,Wait until 2026-05-15 and then pay INR 111300 in full. Paying earlier would put the INR 59500 minimum balance at risk.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. The 90-day forecast remains above the INR 189700 minimum balance. Projected minimum balance: INR 390388.10.
request_266,821.04,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-15,none,Use 3 installments of EUR 324.13 starting 2025-08-03. The verified schedule keeps the EUR 900 minimum protected. Financing cost is EUR 37.39. Projected minimum balance: EUR 1396.91.
request_267,1637.18,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,Use 3 installments of EUR 667.33 starting 2026-01-08. The verified schedule keeps the EUR 1500 minimum protected. Financing cost is EUR 76.99. Required spending changes: stop:event_24573. Projected minimum balance: EUR 1652.05.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use 3 installments of EUR 841.22 starting 2024-06-14. The verified schedule keeps the EUR 1400 minimum protected. Financing cost is EUR 97.06. Projected minimum balance: EUR 1693.30.
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 23100 minimum balance protected.
request_270,224.93,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 1400 minimum balance protected.
request_271,19553.86,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Wait until 2024-11-15 and then pay INR 91300 in full. Paying earlier would put the INR 58200 minimum balance at risk.
request_272,6048515.78,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Use 3 installments of IDR 4709466.67 starting 2025-02-12. The verified schedule keeps the IDR 7508600 minimum protected. Financing cost is IDR 543400.01. Projected minimum balance: IDR 8847649.11.
request_273,10743745.89,affordable_with_plan,partial_payment,2026-04-07:10743745.89|2026-04-15:5117254.11,2026-04-15,none,Pay IDR 10743745.89 today and IDR 5117254.11 on 2026-04-15. The verified schedule keeps the IDR 18774600 minimum protected. Projected minimum balance: IDR 18774600.00.
request_274,2567.40,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Use 3 installments of EUR 940.75 starting 2024-12-04. The verified schedule keeps the EUR 1800 minimum protected. Financing cost is EUR 108.55. Projected minimum balance: EUR 3426.65.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. The 90-day forecast remains above the IDR 12760100 minimum balance. Projected minimum balance: IDR 15950646.26.
